,Year,Franchise,Genre,Platform,Publisher,Developer
2087,2005,Undefined Franchise,Adventure,DS,Buena Vista,Griptonite Games
2088,2005,Undefined Franchise,Adventure,GBA,Electronic Arts,Magic Pockets
2089,2018,Dynasty Warriors,Action,XOne,Tecmo Koei,Omega Force
2090,1994,Mortal Kombat,Fighting,SNES,Acclaim Entertainment,Sculptured Software
2091,2011,Undefined Franchise,Racing,X360,Black Bean Games,Milestone S.r.l
2092,2004,Undefined Franchise,Role-Playing,PS2,Bandai,CyberConnect2
2093,2013,Undefined Franchise,Strategy,PC,KING Art Games,KING Art Games
2094,2009,Undefined Franchise,Action,PSP,Tecmo,Team Tachyon
2095,2011,Undefined Franchise,Shooter,PC,Warner Bros. Interactive,Day 1 Studios
2096,1987,Undefined Franchise,Puzzle,NES,Broderbund,Hudson Soft
2097,2008,Undefined Franchise,Adventure,PSP,GN Software,GN Software
2098,2009,Undefined Franchise,Misc,PS2,Tecmo,Net Corporation
2099,2018,Undefined Franchise,Adventure,PS4,04-Aug,07th Expansion
2100,2007,Undefined Franchise,Puzzle,DS,Nintendo,07th Expansion
2101,2008,Undefined Franchise,Shooter,PC,Valve Corporation,Valve Software
2102,2016,Undefined Franchise,Role-Playing,PS4,Sega,Sega
2103,2002,Undefined Franchise,Action,XB,Sega,07th Expansion
2104,2002,Undefined Franchise,Role-Playing,PC,nan,07th Expansion
2105,2011,Undefined Franchise,Action,PC,nan,07th Expansion
2106,2007,Undefined Franchise,Action,PSP,nan,Bec
2107,2008,Undefined Franchise,Puzzle,Wii,Zoo Digital Publishing,07th Expansion
2108,2008,Undefined Franchise,Shooter,PS3,Gamecock,Spark Unlimited
2109,2011,Undefined Franchise,Role-Playing,PSP,Sony Computer Entertainment,SCE Japan Studio
2110,1999,Rayman,Platform,N64,Ubisoft,Ubisoft
2111,2016,Undefined Franchise,Adventure,PSV,D3Publisher,RED Entertainment
2112,2004,Spyro,Platform,PS2,VU Games,Eurocom Entertainment Software
2113,2002,Undefined Franchise,Action,GBA,Ubisoft,Ubisoft
2114,2008,Undefined Franchise,Misc,DS,Namco Bandai,Bandai Namco Games
2115,1995,Lemmings,Puzzle,PS,Psygnosis,Clockwork Games
2116,2018,Undefined Franchise,Visual Novel,NS,5pb,5pb. Games
2117,2016,Dynasty Warriors,Strategy,PS3,Tecmo Koei,Omega Force
2118,2014,NBA 2K,Sports,XOne,2K Sports,Visual Concepts
2119,2008,Undefined Franchise,Adventure,Wii,Majesco,Mistic Studios
2120,2003,Undefined Franchise,Strategy,XB,Atari,Atari
2121,2010,Undefined Franchise,Misc,DS,Nintendo,Nintendo SDD
2122,2009,Undefined Franchise,Adventure,PS2,04-Aug,07th Expansion
2123,2015,Undefined Franchise,Platform,PC,04-Aug,K Bros Games
2124,2010,Undefined Franchise,Adventure,PSP,Idea Factory,Idea Factory
2125,2014,Undefined Franchise,Action,PC,Focus Multimedia,nan
2126,2009,Undefined Franchise,Adventure,PS2,Idea Factory,Lupinus
2127,2003,Undefined Franchise,Fighting,PS2,Sammy Corporation,Arc System Works
2128,2011,Undefined Franchise,Shooter,X360,Ubisoft,Q Entertainment
2129,2006,Metal Gear,Misc,PSP,Konami,Kojima Productions
2130,2009,Undefined Franchise,Misc,PS3,MTV Games,Harmonix Music Systems
2131,2001,Undefined Franchise,Misc,PS,Activision,Traveller's Tales
2132,2008,Undefined Franchise,Racing,PSP,Ghostlight,Icon Games
2133,2008,Undefined Franchise,Adventure,Wii,Activision,Activision
2134,2017,Undefined Franchise,Strategy,PS4,THQ Nordic,5TH Cell
2135,2005,Undefined Franchise,Racing,XB,THQ,Eutechnyx
2136,2003,Undefined Franchise,Adventure,PS2,THQ,Eurocom Entertainment Software
2137,2011,Undefined Franchise,Role-Playing,PC,nan,07th Expansion
2138,2009,Undefined Franchise,Sports,Wii,Sega,Collision Studios
2139,2011,Undefined Franchise,Role-Playing,PC,Ubisoft,07th Expansion
2140,2018,Undefined Franchise,Shooter,PC,04-Aug,07th Expansion
2141,1980,Undefined Franchise,Fighting,2600,nan,07th Expansion
2142,2007,Undefined Franchise,Misc,DS,Namco Bandai,Bandai Namco Games
2143,2014,Undefined Franchise,Misc,PC,Daedalic Entertainment,nan
2144,1999,Undefined Franchise,Fighting,PS,SNK,SNK Corporation
2145,2013,Undefined Franchise,Misc,PSV,Views,nan
2146,2009,Undefined Franchise,Simulation,DS,Nintendo,syn Sophia
2147,2004,Undefined Franchise,Fighting,PS2,VU Games,Genuine Games
2148,2003,Undefined Franchise,Action,PS2,Midas Interactive Entertainment,Atlus Co.
2149,2009,Undefined Franchise,Shooter,PC,Warner Bros. Interactive,GRIN
2150,2006,Undefined Franchise,Misc,PS3,KOEI,Koei
2151,1982,Undefined Franchise,Action,2600,Tigervision,Tigervision
2152,2004,Undefined Franchise,Misc,PS2,Namco,Namco
2153,2011,Undefined Franchise,Simulation,X360,Kalypso,Games Farm
2154,2010,Undefined Franchise,Simulation,PC,nan,07th Expansion
2155,2014,Undefined Franchise,Role-Playing,3DS,Sega,Sega
2156,2004,Undefined Franchise,Action,GBA,Crave Entertainment,07th Expansion
2157,2004,Undefined Franchise,Fighting,PS2,Capcom,Capcom Production Studio 2
2158,2014,Undefined Franchise,Action-Adventure,PSV,Warner Bros. Interactive Entertainment,TT Fusion
2159,2003,Undefined Franchise,Action,PS2,Universal Interactive,Radical Entertainment
2160,2009,Undefined Franchise,Simulation,Wii,Majesco,Panic Button
2161,2007,Undefined Franchise,Fighting,PC,nan,07th Expansion
